source,citation
MITCHELL,"@book{MITCHELL, author = {Brian Mitchell}, title = {International Historical Statistics}, editor = {Palgrave Macmillan Ltd}, series = {International Historical Statistics}, year = {2013}, publisher = {Palgrave Macmillan London}, edition = {1}, pages = {XXXIII, 3118}, doi = {10.1057/978-1-137-30568-8}, isbn = {978-1-137-30568-8}, url = {https://doi.org/10.1057/978-1-137-30568-8} }"
Moxlad,"@article{Moxlad, author = {Luis Bértola and María Rey}, title = {The Montevideo-Oxford Latin American Economic History Database (MOxLAD): Origins, Contents and Sources}, journal = {Economic History of Developing Regions}, volume = {33}, number = {3}, pages = {209--224}, year = {2018}, publisher = {Routledge}, doi = {10.1080/20780389.2018.1532286}, URL = {https://doi.org/10.1080/20780389.2018.1532286}, eprint = {https://doi.org/10.1080/20780389.2018.1532286} }"
MW,"@misc{MW, author = {Lawrence H. Officer and Samuel H. Williamson}, title = {Measures of Worth}, year = {2024}, howpublished = {MeasuringWorth}, url = {https://www.measuringworth.com} }"
NBS,"@misc{NBS, author = {{National Bank of Serbia}}, title = {South-Eastern European Monetary and Economic Statistics from the 19th Century to World War II}, organization = {National Bank of Serbia}, url = {https://www.nbs.rs/en/drugi-nivo-navigacije/publikacije-i-istrazivanja/seemhn/seemhn-dctf/}, year = {2024}, note = {Accessed: 2024-06-24} }"
OECD_EO,"@misc{OECD_EO, author = {{OECD Economic Outlook}}, title = {OECD Economic Outlook Data}, year = {2024}, url = {https://www.oecd.org/en/topics/sub-issues/economic-outlook.html}, note = {Accessed on 2024-06-05} }"
OECD_HPI,"@misc{OECD_HPI, author = {{OECD}}, title = {OECD Housing Prices Indicators Data}, year = {2024}, url = {https://www.oecd.org/en/data/indicators/housing-prices.html}, note = {Accessed on 2024-07-10} }"
OECD_KEI,"@misc{OECD_KEI, author = {{OECD}}, title = {OECD Key Economic Indicators Data}, year = {2024}, url = {https://www.oecd-ilibrary.org/economics/data/main-economic-indicators/key-short-term-indicators_data-00039-en}, note = {Accessed on 2024-07-10} }"
OECD,"@misc{OECD, author = {{Organisation for Economic Co-operation and Development}}, title = {OECD House Price Index}, year = {2024} }"
OECD_MEI,"@misc{OECD_MEI, author = {{OECD}}, title = {OECD Main Economic Indicators Data}, year = {2024}, url = {https://web-archive.oecd.org/temp/2023-09-05/76384-oecdmaineconomicindicatorsmei.htm}, note = {Accessed on 2024-07-04} }"
OECD_MEI_ARC,"@misc{OECD_MEI_ARC, author = {{OECD}}, title = {OECD Main Economic Indicators Data}, year = {2024}, url = {https://web-archive.oecd.org/temp/2023-09-05/76384-oecdmaineconomicindicatorsmei.htm}, note = {Accessed on 2024-07-04} }"
OECD_QNA,"@misc{OECD_QNA, author = {{OECD}}, title = {OECD Quarterly National Accounts Data}, year = {2024}, url = {https://www.oecd-ilibrary.org/economics/data/oecd-national-accounts-statistics/quarterly-national-accounts_data-00017-en}, note = {Accessed on 2024-07-10} }"
OECD_REV,"@misc{OECD_REV, author = {{OECD}}, title = {Revenue Statistics 2024: Health Taxes in OECD Countries}, year = {2024}, url = {https://www.oecd.org/en/publications/revenue-statistics-2024_c87a3da5-en.html}, note = {Accessed on 2024-07-10} }"
PWT,"@article{PWT, author = {Feenstra, Robert C. and Inklaar, Robert and Timmer, Marcel P.}, title = {The Next Generation of the Penn World Table}, journal = {American Economic Review}, volume = {105}, number = {10}, pages = {3150-3182}, year = {2015}, url = {https://www.rug.nl/ggdc/productivity/pwt/?lang=en}, note = {Accessed: 2024-04-21} }"
RR,"@article{RR, title = {The Aftermath of Financial Crises}, author = {Reinhart, Carmen M and Rogoff, Kenneth S}, journal = {American Economic Review}, volume = {99}, number = {2}, pages = {466--472}, year = {2009}, publisher = {American Economic Association} }"
TH_ID,"@article{TH_ID, title = {The Prelude and Global Impact of the Great Depression: Evidence from a New Macroeconomic Dataset}, journal = {Explorations in Economic History}, volume = {70}, pages = {150-163}, year = {2018}, issn = {0014-4983}, doi = {https://doi.org/10.1016/j.eeh.2018.08.004}, url = {https://www.sciencedirect.com/science/article/pii/S001449831830069X}, author = {Thilo Nils Hendrik Albers} }"
Tena_Pop,"@techreport{Tena_Pop, author = {Federico, Giovanni and Tena-Junguito, Antonio}, title = {How Many People on Earth? World Population 1800-1938}, institution = {Universidad Carlos III de Madrid}, series = {Working Papers in Economic History}, number = {2023-02}, year = {2023}, url = {https://hdl.handle.net/10016/36431} }"
Tena_USDfx,"@article{Tena_USDfx, author = {Federico, Giovanni and Tena-Junguito, Antonio}, title = {World Trade, 1800-1938: a New Synthesis}, journal = {Revista de Historia Econ{\'o}mica-Journal of Iberian and Latin America Economic History}, year = {2019}, volume = {37}, number = {1}, doi = {10.1017/S0212610918000216} }"
Tena_trade,"@article{Tena_trade, author = {Federico, Giovanni and Tena-Junguito, Antonio}, title = {World Trade, 1800-1938: a New Synthesis}, journal = {Revista de Historia Econ{\'o}mica-Journal of Iberian and Latin America Economic History}, year = {2019}, volume = {37}, number = {1}, doi = {10.1017/S0212610918000216} }"
UN,"@misc{UN, author = {{United Nations}}, title = {World Population Prospects 2024, Online Edition}, year = {2024}, url = {https://population.un.org/wpp/}, note = {Accessed: 2024-02-02} }"
WDI,"@misc{WDI, author = {{World Bank}}, title = {World Development Indicators}, year = {2024}, address = {Washington, D.C.}, publisher = {The World Bank}, note = {Accessed: 2024-04-21}, url = {https://data.worldbank.org/indicator}, }"
WDI_ARC,"@misc{WDI_ARC, author = {{World Bank (Archives)}}, title = {World Development Indicators}, year = {1999}, address = {Washington, D.C.}, publisher = {The World Bank}, note = {Accessed: 2024-07-21}, url = {https://data.worldbank.org/indicator}, }"
WB_infl,"@article{WB_infl, author = {Ha, Jongrim and Kose, M. Ayhan and Ohnsorge, Franziska}, title = {One-Stop Source: A Global Database of Inflation}, journal = {Journal of International Money and Finance}, volume = {137}, month = {October}, year = {2023}, pages = {102896} }"
CS1_ARG,"@techreport{CS1_ARG, author = {Nakamura, L. I. and Zarazaga, C. E.}, title = {Banking and Finance in Argentina in the Period 1900-35}, year = {2001}, institution = {Federal Reserve Bank of Dallas}, url = {https://www.dallasfed.org/~/media/documents/research/papers/2001/wp0108.pdf}, note = {Accessed: 2024-06-24} }"
CS2_ARG,"@misc{CS2_ARG, author = {{Ministerio de Economía de la República Argentina}}, title = {Información Económica al Día - Apéndice 8}, year = {2024}, institution = {Ministerio de Economía}, url = {https://www.economia.gob.ar/download/infoeco/apendice8.xlsx}, note = {Accessed: 2024-01-16}, type = {Data file} }"
CS1_AUS,"@misc{CS1_AUS, author = {Hutchinson, Diane and Ploeckl, Florian}, title = {What Was the Australian GDP or CPI Then?}, year = {2024}, publisher = {MeasuringWorth}, url = {https://www.measuringworth.com/datasets/australiadata/}, note = {Accessed: 2024-04-21} }"
CS2_AUS,"@inbook{CS2_AUS, title = {Australians: Historical Statistics}, author = {Vamplew, Wray}, year = {1987}, publisher = {Fairfax, Syme \& Weldon Associates}, address = {Broadway, N.S.W., Australia}, volume = {10}, language = {English} }"
CS1_AUT,"@article{CS1_AUT, author = {Schulze, Max-Stephan}, title = {Patterns of Growth and Stagnation in the Late Nineteenth Century Habsburg Economy}, journal = {European Review of Economic History}, volume = {4}, number = {3}, pages = {311-340}, year = {2000}, url = {https://doi.org/10.1017/S1361491600000095}, note = {Accessed: 2024-04-21} }"
CS1_BEL,"@misc{CS1_BEL, author = {{National Bank of Belgium}}, title = {Statistical Data}, year = {2024} }"
CS1_BRA,"@misc{CS1_BRA, title = {IPEA data}, author = {Instituto de Pesquisa Econômica Aplicada}, year = {2024}, publisher = {Instituto de Pesquisa Econômica Aplicada}, url = {http://www.ipeadata.gov.br}, note = {Accessed on: October 8, 2024} }"
CS1_CAN,"@misc{CS1_CAN, author = {{Statistics Canada}}, title = {Historical Statistics of Canada: Section F: Gross National Product, the Capital Stock, and Productivity}, note = {In Historical Statistics of Canada. Accessed October 02, 2024}, url = {https://www150.statcan.gc.ca/n1/pub/11-516-x/sectionf/4057751-eng.htm} }"
CS1_CHE,"@misc{CS1_CHE, author = {{Swiss National Bank}}, title = {Swiss National Bank Historical time series}, year = {2024}, URL = {https://www.snb.ch/en/the-snb/mandates-goals/statistics/statistics-pub/publication-history/historical-time-series}, note = {Accessed: 2024-06-26} }"
CS2_CHE,"@misc{CS2_CHE, title = {Historical Statistics of Switzerland}, author = {HSSO}, year = {2012}, publisher = {Historical Statistics of Switzerland}, url = {https://hsso.ch}, note = {Accessed on: October 2, 2024} }"
CS1_CHN,"@misc{CS1_CHN, author = {{National Bureau of Statistics of China}}, title = {Statistical Data}, year = {2024} }"
CS1_DNK,"@book{CS1_DNK, author = {Abildgren, K.}, title = {A Chart \& Data Book on the Monetary and Financial History of Denmark}, year = {2017}, url = {https://sites.google.com/view/kim-abildgren/historical-statistics}, note = {Accessed: 2024-06-24} }"
CS1_DZA,"@misc{CS1_DZA, author = {{Bank of Algeria}}, title = {{Monetary Indicators}}, year = {2024}, url = {https://www.bank-of-algeria.dz/situation-monetaire} }"
CS1_FRA,"@misc{CS1_FRA, author = {{Banque de France}}, title = {Le portail statistique de la Banque de France}, year = {2024}, note = {Accessed: 2024-07-23}, url = {https://webstat.banque-france.fr/} }"
