ISO3,countryname,year,HPI,BIS,DALLASFED,EUS,JST,OECD,CS1,CS2,chainlinking_ratio,source,source_change
AUS,Australia,1893,.16747195,,,,.1489554984763259,,,,1.1243086,JST,
AUS,Australia,1955,1.3425564,,,,1.19411730451424,,,,1.1243086,JST,
AUS,Australia,1997,34.194801,34.1948,33.26941629466729,,32.10094530588219,26.941791727672,,,1,BIS,
AUS,Australia,1988,25.419701,25.4197,24.73633834019991,,21.72524784042107,18.1088387994143,,,1,BIS,
AUS,Australia,2024,194.3439,194.3439,,,,,,,1,BIS,
AUS,Australia,1977,8.1267996,8.126799999999999,6.895081977725611,,7.513688813968126,6.26786212135209,,,1,BIS,
AUS,Australia,1994,31.626801,31.6268,30.77660700461294,,30.21513790956996,25.3895490483162,,,1,BIS,
AUS,Australia,1881,.17762177,,,,.157983104444588,,,,1.1243086,JST,
AUS,Australia,2009,96.030998,96.03100000000001,95.49377126614456,,89.21833199723406,72.4212499999999,,,1,BIS,
AUS,Australia,2014,116.3601,116.3601,111.4282509871707,,112.3750863529453,91.72024999999989,,,1,BIS,
AUS,Australia,1927,.43018532,,,,.3826220940520981,,,,1.1243086,JST,
AUS,Australia,1962,2.00438,,,,1.782766679979007,,,,1.1243086,JST,
AUS,Australia,1891,.25120792,,,,.2234332477144888,,,,1.1243086,JST,
AUS,Australia,2023,185.0522,185.0522,182.9641300716753,,,,,,1,BIS,
AUS,Australia,1883,.19284648,,,,.1715245133969813,,,,1.1243086,JST,
AUS,Australia,1948,.47982207,,,,.4267707972119555,,,,1.1243086,JST,
AUS,Australia,1870,.15224724,,,,.1354140895239326,,,,1.1243086,JST,
AUS,Australia,2007,87.5121,87.5121,87.44007971361664,,82.6415123575588,66.9602499999999,,,1,BIS,
AUS,Australia,1936,.35218468,,,,.3132455605151792,,,,1.1243086,JST,
AUT,Austria,1993,86.034203,86.0342,,,,,,,1,BIS,
AUT,Austria,1996,81.32,81.31999999999999,,,,,,,1,BIS,
AUT,Austria,2015,135.8476,135.8476,,98.19,,100,,,1,BIS,
AUT,Austria,1992,84.384201,84.38420000000001,,,,,,,1,BIS,
AUT,Austria,2001,77.391502,77.39149999999999,,,,59.0818235759494,,,1,BIS,
AUT,Austria,2012,118.405,118.405,,85.44,,87.57000000000011,,,1,BIS,
AUT,Austria,1997,83.7556,83.7556,,,,,,,1,BIS,
AUT,Austria,2004,80.848602,80.8486,,,,58.437401107595,,,1,BIS,
AUT,Austria,1987,37.163601,37.1636,,,,,,,1,BIS,
AUT,Austria,2006,85.876999,85.877,,,,63.871054193038,,,1,BIS,
AUT,Austria,2007,89.334099,89.33410000000001,,,,66.8588310917722,,,1,BIS,
AUT,Austria,1989,51.149101,51.1491,,,,,,,1,BIS,
AUT,Austria,1998,78.648598,78.6486,,,,,,,1,BIS,
AUT,Austria,2017,148.73309,148.7331,,112.65,,114.26,,,1,BIS,
AUT,Austria,1994,82.655701,82.6557,,,,,,,1,BIS,
AUT,Austria,2008,92.241203,92.24120000000001,,,,67.57648338607601,,,1,BIS,
AUT,Austria,2016,142.0546,142.0546,,104.04,,108.5325,,,1,BIS,
AUT,Austria,2010,101.1982,101.1982,,77.20999999999999,,76.7975,,,1,BIS,
AUT,Austria,1995,80.769997,80.77,,,,,,,1,BIS,
AUT,Austria,2003,80.848602,80.8486,,,,59.5797863924051,,,1,BIS,
AUT,Austria,2000,77.391502,77.39149999999999,,,,58.5838607572213,,,1,BIS,
AUT,Austria,2005,83.991402,83.9914,,,,61.3519481803798,,,1,BIS,
AUT,Austria,2024,207.5034,207.5034,,159.54,,,,,1,BIS,
AUT,Austria,2002,79.041397,79.0414,,,,59.4186807753165,,,1,BIS,
AUT,Austria,1988,42.349201,42.3492,,,,,,,1,BIS,
AUT,Austria,1990,65.448799,65.44880000000001,,,,,,,1,BIS,
AUT,Austria,2011,106.2267,106.2267,,82.59,,81.5975,,,1,BIS,
AUT,Austria,2020,181.0253,181.0253,,138,,136.31125,,,1,BIS,
AUT,Austria,2018,159.73289,159.7329,,121.15,,119.64,,,1,BIS,
AUT,Austria,1986,32.370899,32.3709,,,,,,,1,BIS,
AUT,Austria,2013,123.2764,123.2764,,91.79000000000001,,92.10000000000009,,,1,BIS,
AUT,Austria,2023,209.3891,209.3891,,161.4,,,,,1,BIS,
AUT,Austria,2021,203.7321,203.7321,,153.52,,153.2625,,,1,BIS,
AUT,Austria,1991,76.762901,76.7629,,,,,,,1,BIS,
AUT,Austria,2022,214.4176,214.4176,,166.32,,170.76499999732,,,1,BIS,
AUT,Austria,2009,94.283997,94.28400000000001,,,,70.2127571202532,,,1,BIS,
AUT,Austria,2019,164.6042,164.6042,,127.81,,126.6,,,1,BIS,
AUT,Austria,1999,77.705803,77.7058,,,,,,,1,BIS,
AUT,Austria,2014,126.262,126.262,,95.31999999999999,,95.33,,,1,BIS,
BEL,Belgium,1911,.16763911,,,,.1524245239284917,,,,1.0998172,JST,
BEL,Belgium,1979,23.736099,23.7361,22.44924801358957,,22.30222664870673,21.6099851921865,,,1,BIS,
BEL,Belgium,1879,.1756122,,,,.1596739829933834,,,,1.0998172,JST,
BEL,Belgium,2016,113.431,113.431,109.5450549260993,103.9,110.6207527816933,102.6405,,,1,BIS,
BEL,Belgium,1981,22.046301,22.0463,20.52936396196348,,21.20886641206265,20.5975892407058,,,1,BIS,
BEL,Belgium,1930,1.3928114,,,,1.266402679584468,,,,1.0998172,JST,
BEL,Belgium,2012,106.3675,106.3675,104.9394290135957,96.51000000000001,105.4220848056903,97.8135000000001,,,1,BIS,
BEL,Belgium,1946,3.1640062,,,,2.876847484282441,,,,1.0998172,JST,
BEL,Belgium,1952,3.3405852,,,,3.037400476002075,,,,1.0998172,JST,
BEL,Belgium,1954,3.6919413,,,,3.356868163607472,,,,1.0998172,JST,
BEL,Belgium,1985,22.2369,22.2369,20.67907793783628,,20.72571203145904,20.2113043478261,,,1,BIS,
BEL,Belgium,1898,.14208436,,,,.1291890782076851,,,,1.0998172,JST,
BEL,Belgium,2004,73.132202,73.1322,67.56204348774074,,66.06881125949594,64.9526147605546,,,1,BIS,
BEL,Belgium,1897,.13901781,,,,.1264008247211883,,,,1.0998172,JST,
BEL,Belgium,2011,104.5771,104.5771,103.5809315601892,95.79000000000001,103.8177269380486,95.67575000000009,,,1,BIS,
BEL,Belgium,1904,.15946159,,,,.1449891812978336,,,,1.0998172,JST,
BEL,Belgium,1971,8.4017,8.4017,,,7.392682391667008,7.6769658010952,,,1,BIS,
BEL,Belgium,1932,1.2865037,,,,1.169743225385912,,,,1.0998172,JST,
BEL,Belgium,2008,98.8237,98.8237,94.66051441030403,90.52,96.25851036455813,89.6052500000001,,,1,BIS,
BEL,Belgium,1958,4.2883458,,,,3.899144084619708,,,,1.0998172,JST,
